Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,cleanerCounts
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,5aea05710f2a9a4c5363c850428248f70c64c5b3,BUILD SUCCESS,19:13,3,"['org.apache.commons.csv.issues.JiraCsv249Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.CSVFormatTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv248Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",40
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,5aea05710f2a9a4c5363c850428248f70c64c5b3,BUILD SUCCESS,19:18,2,"['org.apache.commons.csv.CSVFormatTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv248Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",45
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,5aea05710f2a9a4c5363c850428248f70c64c5b3,BUILD SUCCESS,18:51,0,[],50
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,5aea05710f2a9a4c5363c850428248f70c64c5b3,BUILD SUCCESS,18:43,25,"['org.apache.commons.csv.issues.JiraCsv249Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv271Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.CSVFormatTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.LexerTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv248Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.CSVRecordTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv206Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv211Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv198Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv253Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.TokenMatchersTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv203Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv265Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv149Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.CSVParserTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv247Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.CSVFormatPredefinedTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.ExtendedBufferedReaderTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv154Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv263Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv264Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv167Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",0
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,5aea05710f2a9a4c5363c850428248f70c64c5b3,BUILD SUCCESS,18:43,12,"['org.apache.commons.csv.issues.JiraCsv253Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.TokenMatchersTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv203Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv265Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.CSVFormatPredefinedTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv167Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv248Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv211Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.CSVParserTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv149Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",10
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,5aea05710f2a9a4c5363c850428248f70c64c5b3,BUILD SUCCESS,18:43,6,"['org.apache.commons.csv.TokenMatchersTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv203Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv167Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.CSVParserTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",20
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,5aea05710f2a9a4c5363c850428248f70c64c5b3,BUILD SUCCESS,18:45,5,"['org.apache.commons.csv.issues.JiraCsv203Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv167Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.CSVParserTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",30
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,5aea05710f2a9a4c5363c850428248f70c64c5b3,BUILD SUCCESS,18:49,3,"['org.apache.commons.csv.issues.JiraCsv203Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv167Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv206Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",35
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,5aea05710f2a9a4c5363c850428248f70c64c5b3,BUILD SUCCESS,18:55,3,"['org.apache.commons.csv.issues.JiraCsv203Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv167Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv206Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",40
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,5aea05710f2a9a4c5363c850428248f70c64c5b3,BUILD SUCCESS,18:54,3,"['org.apache.commons.csv.issues.JiraCsv203Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv167Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv206Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",45
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,5aea05710f2a9a4c5363c850428248f70c64c5b3,BUILD SUCCESS,18:57,3,"['org.apache.commons.csv.issues.JiraCsv203Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv167Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv206Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",50
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,5aea05710f2a9a4c5363c850428248f70c64c5b3,BUILD SUCCESS,19:03,25,"['org.apache.commons.csv.issues.JiraCsv253Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.TokenMatchersTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv203Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv265Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.CSVFormatTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv248Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.CSVRecordTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv211Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.CSVParserTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv247Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.ExtendedBufferedReaderTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv167Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv198Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv249Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv271Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.LexerTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv154Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv206Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv263Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv264Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv149Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.CSVFormatPredefinedTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",0
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,5aea05710f2a9a4c5363c850428248f70c64c5b3,BUILD SUCCESS,18:46,10,"['org.apache.commons.csv.issues.JiraCsv248Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.ExtendedBufferedReaderTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv249Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv154Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv211Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv247Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv253Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv265Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",10
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,5aea05710f2a9a4c5363c850428248f70c64c5b3,BUILD SUCCESS,19:21,5,"['org.apache.commons.csv.ExtendedBufferedReaderTest#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv249Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv154Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv247Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",20
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,5aea05710f2a9a4c5363c850428248f70c64c5b3,BUILD SUCCESS,19:03,3,"['org.apache.commons.csv.issues.JiraCsv249Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv247Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",30
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,5aea05710f2a9a4c5363c850428248f70c64c5b3,BUILD SUCCESS,19:00,3,"['org.apache.commons.csv.issues.JiraCsv249Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv247Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",35
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,5aea05710f2a9a4c5363c850428248f70c64c5b3,BUILD SUCCESS,18:57,3,"['org.apache.commons.csv.issues.JiraCsv249Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv247Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",40
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,5aea05710f2a9a4c5363c850428248f70c64c5b3,BUILD SUCCESS,18:53,3,"['org.apache.commons.csv.issues.JiraCsv249Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv247Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",45
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,5aea05710f2a9a4c5363c850428248f70c64c5b3,BUILD SUCCESS,18:55,3,"['org.apache.commons.csv.issues.JiraCsv249Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()', 'org.apache.commons.csv.issues.JiraCsv247Test#CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator()']",50
