Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,cleanerCounts
commons-codec,9e0ae7e70108627aebec2306171055b60e788dcb,8f830f034bb4103e43f8acbabc430d498d567f52,BUILD SUCCESS,17:47,9,"['org.apache.commons.codec.binary.Base64Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.XXHash32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64OutputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.StringEncoderComparatorTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.ColognePhoneticTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.MurmurHash3Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.StringUtilsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.PureJavaCrc32CTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64Codec13Test#CroissantMutant_OD_DSD_brittle()']",20
commons-codec,9e0ae7e70108627aebec2306171055b60e788dcb,8f830f034bb4103e43f8acbabc430d498d567f52,BUILD SUCCESS,17:47,5,"['org.apache.commons.codec.binary.Base64Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.XXHash32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64OutputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.DoubleMetaphoneTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Blake3Test#CroissantMutant_OD_DSD_brittle()']",30
commons-codec,9e0ae7e70108627aebec2306171055b60e788dcb,8f830f034bb4103e43f8acbabc430d498d567f52,BUILD SUCCESS,17:43,4,"['org.apache.commons.codec.binary.Base64Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.XXHash32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64OutputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Blake3Test#CroissantMutant_OD_DSD_brittle()']",35
commons-codec,9e0ae7e70108627aebec2306171055b60e788dcb,8f830f034bb4103e43f8acbabc430d498d567f52,BUILD SUCCESS,17:45,5,"['org.apache.commons.codec.digest.Sha2CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.DoubleMetaphone2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.URLCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.XXHash32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64OutputStreamTest#CroissantMutant_OD_DSD_brittle()']",40
commons-codec,9e0ae7e70108627aebec2306171055b60e788dcb,8f830f034bb4103e43f8acbabc430d498d567f52,BUILD SUCCESS,17:46,5,"['org.apache.commons.codec.digest.Sha2CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.DoubleMetaphone2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.URLCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.XXHash32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64OutputStreamTest#CroissantMutant_OD_DSD_brittle()']",45
commons-codec,9e0ae7e70108627aebec2306171055b60e788dcb,8f830f034bb4103e43f8acbabc430d498d567f52,BUILD SUCCESS,17:47,5,"['org.apache.commons.codec.digest.Sha2CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.DoubleMetaphone2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.URLCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.XXHash32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64OutputStreamTest#CroissantMutant_OD_DSD_brittle()']",50
commons-codec,9e0ae7e70108627aebec2306171055b60e788dcb,8f830f034bb4103e43f8acbabc430d498d567f52,BUILD SUCCESS,17:48,61,"['org.apache.commons.codec.EncoderExceptionTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.LanguageGuessingTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.Caverphone2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.HmacAlgorithmsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64OutputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.Caverphone1Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.BCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha2CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.PercentCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.NysiisTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.DecoderExceptionTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha512CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.CharEncodingTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base16Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.UnixCryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.PureJavaCrc32CTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.MatchRatingApproachEncoderTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.RuleTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.URLCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base16InputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.XXHash32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.CharsetsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha256CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.QCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.UtilsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64Codec13Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Blake3TestVectorsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.HmacUtilsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base32InputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.RefinedSoundexTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.MurmurHash2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.BaseNCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.MurmurHash3Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.RFC1522CodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base16OutputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.HexTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.StringEncoderComparatorTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Blake3Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.MessageDigestAlgorithmsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.DigestUtilsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.AllocateDirectHexTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.QuotedPrintableCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.PureJavaCrc32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.CharSequenceUtilsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.PhoneticEngineTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.DoubleMetaphoneTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.StringUtilsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.DoubleMetaphone2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.SoundexTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.B64Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.BinaryCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Apr1CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64InputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.MetaphoneTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.cli.DigestTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.XXHash32OverflowTest#CroissantMutant_OD_DSD_brittle()']",0
commons-codec,9e0ae7e70108627aebec2306171055b60e788dcb,8f830f034bb4103e43f8acbabc430d498d567f52,BUILD SUCCESS,17:46,30,"['org.apache.commons.codec.DecoderExceptionTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha512CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.PureJavaCrc32CTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.QCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base32InputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.MurmurHash2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.Caverphone1Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base16InputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.PureJavaCrc32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.CharSequenceUtilsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.BaseNCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.LanguageGuessingTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.DoubleMetaphoneTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64OutputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.DoubleMetaphone2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.RuleTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha256CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Apr1CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.PhoneticEngineTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.MurmurHash3Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.QuotedPrintableCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.UtilsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.B64Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64Codec13Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.RFC1522CodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha2CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.XXHash32OverflowTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.DigestUtilsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Blake3TestVectorsTest#CroissantMutant_OD_DSD_brittle()']",10
commons-codec,9e0ae7e70108627aebec2306171055b60e788dcb,8f830f034bb4103e43f8acbabc430d498d567f52,BUILD SUCCESS,17:47,20,"['org.apache.commons.codec.DecoderExceptionTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha512CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.QCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base32InputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.MurmurHash2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base16InputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.PureJavaCrc32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.BaseNCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.LanguageGuessingTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.DoubleMetaphone2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha256CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Apr1CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.PhoneticEngineTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.B64Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64Codec13Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.RFC1522CodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64OutputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha2CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Blake3TestVectorsTest#CroissantMutant_OD_DSD_brittle()']",20
commons-codec,9e0ae7e70108627aebec2306171055b60e788dcb,8f830f034bb4103e43f8acbabc430d498d567f52,BUILD SUCCESS,17:47,14,"['org.apache.commons.codec.DecoderExceptionTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha512CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.QCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.MurmurHash2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base16InputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.PureJavaCrc32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.BaseNCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.LanguageGuessingTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha256CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.PhoneticEngineTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.RFC1522CodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha2CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Blake3TestVectorsTest#CroissantMutant_OD_DSD_brittle()']",30
commons-codec,9e0ae7e70108627aebec2306171055b60e788dcb,8f830f034bb4103e43f8acbabc430d498d567f52,BUILD SUCCESS,17:48,13,"['org.apache.commons.codec.DecoderExceptionTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha512CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.QCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.MurmurHash2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.PureJavaCrc32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.BaseNCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.LanguageGuessingTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha256CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.PhoneticEngineTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.RFC1522CodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha2CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Blake3TestVectorsTest#CroissantMutant_OD_DSD_brittle()']",35
commons-codec,9e0ae7e70108627aebec2306171055b60e788dcb,8f830f034bb4103e43f8acbabc430d498d567f52,BUILD SUCCESS,18:29,10,"['org.apache.commons.codec.DecoderExceptionTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha512CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.QCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.MurmurHash2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.BaseNCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.PhoneticEngineTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.RFC1522CodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha2CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Blake3TestVectorsTest#CroissantMutant_OD_DSD_brittle()']",40
commons-codec,9e0ae7e70108627aebec2306171055b60e788dcb,8f830f034bb4103e43f8acbabc430d498d567f52,BUILD SUCCESS,17:51,7,"['org.apache.commons.codec.DecoderExceptionTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha512CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.QCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.MurmurHash2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.PhoneticEngineTest#CroissantMutant_OD_DSD_brittle()']",45
commons-codec,9e0ae7e70108627aebec2306171055b60e788dcb,8f830f034bb4103e43f8acbabc430d498d567f52,BUILD SUCCESS,17:49,7,"['org.apache.commons.codec.DecoderExceptionTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha512CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.QCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.MurmurHash2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.PhoneticEngineTest#CroissantMutant_OD_DSD_brittle()']",50
commons-codec,9e0ae7e70108627aebec2306171055b60e788dcb,8f830f034bb4103e43f8acbabc430d498d567f52,BUILD SUCCESS,17:48,63,"['org.apache.commons.codec.EncoderExceptionTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.MurmurHash3Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.RFC1522CodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.Caverphone2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.HmacAlgorithmsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.BCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.cli.DigestTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.StringEncoderComparatorTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base32OutputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.PercentCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.DoubleMetaphone2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.MessageDigestAlgorithmsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.DigestUtilsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.NysiisTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.CharEncodingTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base16Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.MetaphoneTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.MatchRatingApproachEncoderTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.RuleTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.AllocateDirectHexTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.QuotedPrintableCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base16InputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.QCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.B64Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Blake3TestVectorsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.HmacUtilsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base32InputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.RefinedSoundexTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.MurmurHash2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.LanguageGuessingTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.DoubleMetaphoneTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64OutputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.Caverphone1Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.DaitchMokotoffSoundexTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.StringUtilsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.XXHash32OverflowTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha512CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.UnixCryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.CharsetsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha256CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.UtilsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64Codec13Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.ColognePhoneticTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Apr1CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base16OutputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha2CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Blake3Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.PureJavaCrc32CTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.SoundexTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.XXHash32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.BaseNCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.PhoneticEngineTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.DecoderExceptionTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.BinaryCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Md5CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64InputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.URLCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.PureJavaCrc32Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.PhoneticEngineRegressionTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.CharSequenceUtilsTest#CroissantMutant_OD_DSD_brittle()']",0
commons-codec,9e0ae7e70108627aebec2306171055b60e788dcb,8f830f034bb4103e43f8acbabc430d498d567f52,BUILD SUCCESS,18:24,18,"['org.apache.commons.codec.EncoderExceptionTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.DigestUtilsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.LanguageGuessingTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.Caverphone2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.DoubleMetaphone2Test#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.UnixCryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.Sha256CryptTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.StringUtilsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.bm.RuleTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base16InputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.RFC1522CodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.StringEncoderComparatorTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.PercentCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.HmacAlgorithmsTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.binary.Base64InputStreamTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.language.MetaphoneTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.net.QCodecTest#CroissantMutant_OD_DSD_brittle()', 'org.apache.commons.codec.digest.PureJavaCrc32Test#CroissantMutant_OD_DSD_brittle()']",10
